企業名,都道府県,URL,問合せフォーム,備考
Amihan Entertainment,,https://www.amihan.gg/,なし,メールのみ
株式会社Yuiga-Dock,,https://www.yuiga-dock.com/,なし,メールのみ
永井興業合同会社,,https://nagai-industries.com/,なし,メールのみ
株式会社きんにくゲームズ,,https://kinnniku-games.com/,なし,メールのみ
株式会社メタスラ,,https://www.metasla.net/,https://www.metasla.net/contact,
株式会社Clearest,,https://clearest.jp/,https://clearest.jp/contact/,
株式会社ルウエンハンス,,https://lu-enhance.com/,なし,問合せ自体なし
有限会社リバース･イメージ･クリエイション ,,https://www.ric-japan.com/,https://www.ric-japan.com/contact/,
EYOUGAME株式会社,,https://eyougame.co.jp/,https://eyougame.co.jp/contact.html,
株式会社 SPARKRAFT,,https://www.sparkraft.jp/,https://www.sparkraft.jp/,
株式会社ライトワークス,,https://writeworks.co.jp/index.html,なし,メールのみ
アンテポスト株式会社,,https://antepost.co.jp/,https://antepost.co.jp/contact/inquiry/,
ミスリル株式会社,,https://www.mythril.co.jp/,https://www.mythril.co.jp/contact,
株式会社グッドラックスリー,,https://www.gl-inc.jp/,https://www.gl-inc.jp/contact,
株式会社 ユーフォニック,,https://www.euphonic.co.jp/,なし,メールのみ
株式会社Rikkeisoft,,https://rikkeisoft.com/ja/,https://rikkeisoft.com/ja/contract/,
プラト株式会社,,https://www.plato-web.com/index.html,なし,メールのみ
株式会社MAGES.,,https://mages.co.jp/,https://mages.co.jp/contact/company,
株式会社セガ プレイハート,,https://sega-playheart.co.jp/,https://sega-playheart.co.jp/inquiry/,
株式会社ホープムーン,,https://www.hopemoon.com/,なし,メールのみ
株式会社WHRP,,https://www.whrp.co.jp/,なし,問合せ自体なし
株式会社テンクロス,,https://tencross.co.jp/,https://tencross.co.jp/,
デジタルシティ株式会社,,https://digital-city.co.jp/,https://digital-city.co.jp/,HP下部に問合せフォームあり
株式会社大谷幸夢店,,http://www.otanikoumuten.co.jp/index.html,http://www.otanikoumuten.co.jp/contact.html,
株式会社ガーラ,,https://www.gala.biz/?r=0,https://www.gala.biz/contact-us,
ココネ株式会社,,https://cocone.co.jp/,https://cocone.co.jp/inquiry_form/others/,
株式会社カイロソフト,,https://kairosoft.net/,なし,メールのみ
NTTソルマーレ株式会社,,https://www.nttsolmare.com/,https://www.nttsolmare.com/contact/,
株式会社アクワイア,,https://www.acquire.co.jp/,https://www.acquire.co.jp/company/contacts/,
株式会社アルカディアワークス,,http://arcadia-works.com/,http://arcadia-works.com/,HP下部に問合せフォームあり
株式会社アストロール,,http://www.astroll.jp/,なし,メールのみ
株式会社オーアールジー,,https://www.orggames.co.jp/,https://www.orggames.co.jp/pages/5/,
アイパブリッシング株式会社,,https://www.ipublishing.jp/,https://www.ipublishing.jp/inquiry/,
株式会社レコム,,https://www.recom-corp.co.jp/,https://www.recom-corp.co.jp/contact/,
株式会社月島ファクトリー,,https://moonisland.jp/index.html,なし,メールのみ
株式会社Contents Creation,,https://www.contents-creation.co.jp/,なし,メールのみ
株式会社サイバード,,https://www.cybird.co.jp/,https://www.cybird.co.jp/contact2/,
株式会社バンダイナムコフォージデジタルズ,,https://fd.bandainamco.jp/info/,なし,問合せ自体なし
株式会社スパイク・チュンソフト,,https://www.spike-chunsoft.co.jp/,https://www.spike-chunsoft.co.jp/support/other/,
株式会社ドロップシード,,https://dropseed.co.jp/,https://dropseed.co.jp/inquiry,
株式会社モノクロ,,https://monochrome-corp.com/index.html,なし,メールのみ
株式会社モバイルワンテクノロジー,,http://www.mob1tec.com/index.html,なし,メールのみ
株式会社ファンコーポレーション,,https://www.funco.co.jp/,https://www.funco.co.jp/contact,
株式会社ゼロディブ,,https://www.zerodiv.jp/,https://www.zerodiv.jp/newsite/contact_input.php,
アマツ株式会社,,https://www.amatz.com/index.html,https://www.amatz.com/contact.php,
株式会社Readme,,http://readme-inc.com/,http://readme-inc.com/contact,
株式会社シェルト,,https://www.cierto.co.jp/,https://www.cierto.co.jp/contact/,
Rekoo Japan株式会社,,http://www.rekoo.co.jp/,なし,メールのみ
株式会社セレッテ,,https://sarette.jp/,https://sarette.jp/contact/,
株式会社ボトルキューブ,,https://www.bottlecube.co.jp/,https://www.bottlecube.co.jp/contact,
株式会社モブキャストホールディングス,,https://mobcast.co.jp/,https://mobcast.co.jp/contact/,
有限会社コネクト・ウィザード,,https://c-wiz.co.jp/,https://c-wiz.co.jp/contact.html,
株式会社KIMARY,,https://www.kimary.co.jp/,https://www.kimary.co.jp/contact/,
UZZ株式会社,,https://www.uzz.company/,なし,メールのみ
合同会社Famulite Lab.,,https://www.famulite-lab.com/,なし,メールのみ
株式会社ぐるぐる,,https://guru-guru.net/,https://guru-guru.net/contact/,
有限会社タウンファクトリー,,https://www.townfactory.net/home/main.html,https://www.townfactory.net/inquiry/main.html,
株式会社D-ウェーブ,,https://d-nami.co.jp/,https://d-nami.co.jp/contact/,
株式会社サイバーコネクトツー,,https://www.cc2.co.jp/,https://www.cc2.co.jp/company/mailform,
SAT-BOX株式会社,,https://sat-box.jp/,https://sat-box.jp/company/mail/,
辰巳電子工業株式会社,,https://www.tatsu-mi.co.jp/,https://www.tatsu-mi.co.jp/inquiry,
クアドラソフトウェア株式会社,,https://qdsoft.co.jp/index.html,https://qdsoft.co.jp/ctt/,
株式会社ビー・トライブ,,https://bee-tribe.jp/,https://bee-tribe.jp/contact/,
株式会社アメージング,,https://www.amazing-game.co.jp/,https://www.amazing-game.co.jp/contact/index.html,
株式会社ヘキサドライブ,,https://hexadrive.jp/,https://hexadrive.jp/contact/,
株式会社ジーン,,https://www.xeen.co.jp/,https://www.xeen.co.jp/contact/index/entry,
株式会社アクラス,,https://www.k-aclass.com/,https://www.k-aclass.com/contact/input,
株式会社ヒストリア,,https://historia.co.jp/,https://historia.co.jp/contact,
株式会社Thirdverse,,https://thirdverse.io/ja/,https://form.run/@thirdverse-1623209505,
株式会社クラップハンズ,,https://claphanz.com/,なし,メールのみ
MSY株式会社,,https://msygroup.com/,https://msygroup.com/contact/etc/,
株式会社ヘッドロック,,https://headlock.jp/,https://headlock.jp/contact/,
株式会社ルーデル,,https://rudel.jp/,https://rudel.jp/inquiry/,
株式会社イルカ,,https://www.ilca.co.jp/,https://www.ilca.co.jp/contact/,
株式会社ソフトギア,,https://www.soft-gear.co.jp/,なし,メールのみ
株式会社ジャパンゲートウェイ,,https://www.j-gateway.co.jp/index.html,なし,問合せ自体なし
G2 Studios株式会社,,https://g2-studios.net/,なし,問合せ自体なし
株式会社インクルーズ,,https://www.increws.co.jp/index.html,https://www.increws.co.jp/contact/index.html,
株式会社グリモア,,https://grmr.co.jp/,https://grmr.co.jp/contact/,営業お断り
株式会社enish,,https://www.enish.jp/,なし,メールのみ
HINATA株式会社,,https://hinata3.co.jp/,https://hinata3.co.jp/contact/,
株式会社ランド・ホー,,https://www.landho.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLScA83ksL-PTF23O08pVtHzBJkTYq8xBUbwcoEb8xqDcbi5KGQ/viewform,
株式会社オルカ,,https://www.orca-inc.co.jp/wp/,https://www.orca-inc.co.jp/wp/contact/,
株式会社バンダイナムコスタジオ,,https://www.bandainamcostudios.com/,https://www.bandainamcostudios.com/press-inquiries,取材依頼のみ
株式会社エイティング,,https://www.8ing.co.jp/,https://www.8ing.co.jp/contact/,
株式会社サクセス,,https://www.success-corp.co.jp/,https://www.success-corp.co.jp/inquiry/other-inquiries/,
株式会社バンダイナムコアミューズメントラボ,,https://lab.bandainamco-am.co.jp/,なし,リンク切れ
株式会社マックスゲームズ,,https://www.maxgames.co.jp/,なし,電話のみ
株式会社モス,,https://mossjp.co.jp/,なし,メールのみ
株式会社タムソフト,,https://www.tamsoft.co.jp/,https://www.tamsoft.co.jp/contact/,
株式会社バンダイナムコネクサス,,https://bandainamco-nexus.co.jp/,https://bandainamco-nexus.co.jp/contact/,
コナミグループ株式会社,,https://www.konami.com/ja/,https://ja-support1.konami.com/hc/ja/requests/new?ticket_form_id=8858199092889,
セガサミーホールディングス株式会社,,https://www.segasammy.co.jp/ja/,https://webcomms.segasammy.co.jp/contact/ja?_ifbs-contact=s1_Step1,
株式会社マイナビ出版,,https://book.mynavi.jp/,https://book.mynavi.jp/inquiry/id=4,
リンクラフト株式会社,,https://www.lincraft.co.jp/,https://www.lincraft.co.jp/contact,
株式会社モバイルファクトリー,,https://www.mobilefactory.jp/,https://contact.mobilefactory.jp/contact/,
フューチャー・アンティークス株式会社,,https://futureantiques.co.jp/,https://futureantiques.co.jp/contact/,
株式会社グランシー,,https://gran-c.co.jp/,https://gran-c.co.jp/contact/,
株式会社インフィニットループ,,https://www.infiniteloop.co.jp/,https://www.infiniteloop.co.jp/contact/,
株式会社ビットグルーヴ,,https://www.bitgroove.jp/,https://www.bitgroove.jp/contactform,問合せの受付を一時停止中
株式会社クラウドクリエイティブスタジオ​,,https://cloud-creative-studios.com/,https://cloud-creative-studios.com/contact/,
マリオクラブ株式会社,,https://www.marioclub.co.jp/,なし,問合せ自体なし
株式会社クロスプラススタジオ,,https://crossplus-studio.jp/,https://crossplus-studio.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b,
株式会社アプリズム,,https://apprhythm.co.jp/,https://apprhythm.co.jp/contact/,
株式会社ニューロン・エイジ,,https://neuron-age.co.jp/,https://neuron-age.co.jp/contact/,
株式会社ネクストン,,https://nexton-net.jp/index2.html,https://nexton-net.jp/contact/,
株式会社ディッジ,,https://dh3d.co.jp/,https://dh3d.co.jp/contact/,
株式会社ビサイド,,https://bexide.co.jp/,https://bexide.co.jp/contact,
1-UPスタジオ株式会社,,https://1-up-studio.jp/index.html,なし,問合せ自体なし
株式会社トムクリエイト,,https://www.tomcreate.co.jp/index.html,https://docs.google.com/forms/d/e/1FAIpQLScaWY74GxSbUwLvJUS2UUdbj3eOGI44s-oz_cDp5BYnRdGUng/viewform,
株式会社KMS,,https://kms3.com/,https://kms3.com/cont_others/,
アクセルマーク株式会社,,https://www.axelmark.co.jp/,https://www.axelmark.co.jp/contact/,
株式会社ブシロード,,https://bushiroad.co.jp/,https://bushiroad.co.jp/contact,
有限会社チャイム,,http://www.chime.co.jp/corp.html,なし,問合せ自体なし
株式会社エイリム,,https://www.a-lim.co.jp/,なし,メールのみ
株式会社gumi,,https://gu3.co.jp/,https://gu3.co.jp/contact/others/,
株式会社クロスゲームズ,,https://www.cross-games.jp/,https://www.cross-games.jp/inquiry/,
株式会社シャルラクプラス,,http://www.shall-luck.co.jp/index.html,http://www.shall-luck.co.jp/inquiry.html,
エフアンドシー株式会社,,https://fandc.co.jp/,https://fandc.co.jp/contact/input,
株式会社ザッパラス,,https://www.zappallas.com/,https://www.zappallas.com/contact/,
株式会社ジェーオーイー,,https://j-o-e.jp/,なし,メールのみ
ディライトワークス株式会社,,https://delightworks.co.jp/,https://contact.delightworks.co.jp/corp,
グリーホールディングス株式会社,,https://hd.gree.net/jp/ja/,なし,メールのみ
株式会社サミーネットワークス,,https://www.sammy-net.jp/,https://www.sammy-net.jp/contact/,
株式会社リベル・エンタテインメント,,https://liberent.co.jp/,https://liberent.co.jp/contact/,
株式会社サイバーガジェット,,https://www.cybergadget.co.jp/,なし,メールのみ
ガンホー・オンライン・エンターテイメント株式会社,,https://www.gungho.co.jp/,https://contact.gungho.jp/inquiry/form/input.aspx?displayid=55c7e59c-de66-41e0-85a3-8c103eedb3f4,
株式会社ハル研究所,,https://www.hallab.co.jp/,https://www.hallab.co.jp/contact/form/,
株式会社ロケットスタジオ,,https://www.rocketstd.co.jp/,https://www.rocketstd.co.jp/index.php/contact/,
株式会社UNIVRS,,https://univrs.jp/,なし,メールのみ
株式会社ペガサスジャパン,,https://pegasus-japan.co.jp/,https://pegasus-japan.co.jp/ask/,問合せ受付停止中
アイレムソフトウェアエンジニアリング株式会社,,https://www.irem.co.jp/,https://krs.bz/eizo/m/irem_inquiry,
株式会社インテリジェントシステムズ,,https://www.intsys.co.jp/,なし,メールのみ
株式会社Switch,,https://switch-corp.com/,https://switch-corp.com/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,
ユメノソラホールディングス株式会社,,https://yumenosora.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLSeLqOmo10qdZNTK4hZzP3r_OvbAONVw9gFevNtAQefRRTZnog/viewform,
株式会社インプリ,,https://imple.co.jp/,https://imple.co.jp/contact/,
