企業名,都道府県,URL,問合せフォーム,備考
西新潟商工会,,https://r.goope.jp/nishiniigata/,https://r.goope.jp/nishiniigata/contact,
一般社団法人日本飲食業衛生管理協会,,https://j-f-c.jp/,https://j-f-c.jp/contact/,
特定非営利活動法人 中津川市スポーツ支援振興協会,,https://n-w-a.or.jp/,https://n-w-a.or.jp/contact/,
一般社団法人新日本スポーツ連盟全国卓球協議会,,https://www.stta.jp/zenkoku/,https://www.stta.jp/zenkoku/mail/,
一般社団法人 いびき無呼吸改善協会,,https://ibiki.odod.or.jp/,https://ibiki.odod.or.jp/contact/,
ＮＰＯ法人ＣＬＥＡＲ,,https://npo-clear.site/,https://npo-clear.site/contact.html,
NPO法人スマジロウ,,https://sumajirou-dx.com/,https://sumajirou-dx.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,
一般社団法人静岡シビルサポートキャリア,,https://12bxw.hp.peraichi.com/,なし,
一般社団法人プラズマ療法研究会,,https://plasma-therapy.org/,https://form.run/@info-PEOhi7pQfHzkFXxa6pUB,
一般社団法人プラネタリーヘルスイニシアティブ,,https://phi.or.jp/,https://phi.or.jp/contact,
NPO法人鮫町蕪島ウミネコvillage,,https://umineko-village.hirameki7.site/,https://umineko-village.hirameki7.site/toiawase/,
東住吉みんなでスポーツプロジェクト,,https://higashisumiyoshi-minspo.com/,https://higashisumiyoshi-minspo.com/?page_id=38,
一般社団法人Itoshiki,,https://itoshiki.jp/,https://itoshiki.jp/contact/,
一般社団法人peaceful days,,https://peaceful-days.my.canva.site/#home,https://form.run/@peaceful-days,
一般社団法人日本培養食料学会,,https://www.cultivated-food.org/,https://www.cultivated-food.org/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,
一般社団法人國酒テック・イノベーション推進機構,,https://kokushu-tip.org/,https://kokushu-tip.org/contact/,
一般社団法人札幌マンガ・図書等活用まちづくり機構,,https://samalit.com/,https://samalit.com/,企業HP内にお問い合わせ(URLなし)あり
一般社団法人宮城就業支援ネットワーク,,https://miyagi-s-net.org/,https://miyagi-s-net.org/contact/,営業お断り
一般社団法人Love＆Safety さいじょう,,https://loveandsafety-saijo.jimdosite.com/,https://loveandsafety-saijo.jimdosite.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,
特定非営利活動法人WEAVE,,https://www.npo-weave.jp/,https://www.npo-weave.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%E5%85%88/,
一般社団法人待兼山データサイエンス,,https://www.handai-ds.jp/,https://www.handai-ds.jp/%e6%b3%95%e4%ba%ba%e6%a6%82%e8%a6%81/,お問い合わせは法人概要ページ内にあり
一般社団法人サムライキッズ,,https://samuraikids.sakura.ne.jp/about.html,https://samuraikids.sakura.ne.jp/contact.html,
一般社団法人秋田県ドローン協会,,https://akita-drone.org/,https://akita-drone.org/contact/,
特定非営利活動法人helpwell,,https://helpwell.studio.site/home,https://docs.google.com/forms/d/e/1FAIpQLSefPLUmND5M0r7vRWjtdu7IQ3Txh85owvzaEdaLV8ml5SyFOg/viewform,
一般社団法人首都圏不動産共創協会,,https://metrohub.jp/,,アプリを開く
一般社団法人北海道高齢者終身サポート協会,,https://kou-rei.com/,https://kou-rei.com/form2018/contact.html,
魚沼市商工会,,https://r.goope.jp/uonuma/,https://r.goope.jp/uonuma/contact,
一般社団法人熊本県福祉介護用品協会,,https://kumamoto-kaigoyohin.jp/,https://kumamoto-kaigoyohin.jp/contact/,
一般社団法人カタリスト九州,,https://catalystkyushu.org/,https://catalystkyushu.org/contact,
一般社団法人大空への未来の翼,,https://bihoudo.info/,https://bihoudo.info/contact/,
一般社団法人Bridge Heart,,https://bridge-heart.com/,https://bridge-heart.com/#message,企業HP内にお問い合わせ(URLなし)あり
