企業名,都道府県,URL,問合せフォーム,備考
株式会社田才倉庫,,https://tasaigroup.co.jp/,https://www.tasaigroup.co.jp/mailform/,
株式会社福岡ソノリク,,https://www.fukuokasonoriku.co.jp/index.html,https://www.fukuokasonoriku.co.jp/contact/contact.html,
大一運送株式会社,,http://daiichi-unsou.jp/index.html,http://daiichi-unsou.jp/contact.html,
株式会社 ケイアイ・ロジテック,,http://www.ki-logi.co.jp/,http://www.ki-logi.co.jp/contact.html,
株式会社原口商事,,https://www.haraguchi-kamotsu.co.jp/,https://www.haraguchi-kamotsu.co.jp/contact/,営業NG
有限会社幹コーポレーション,,https://www.miki-corporation.co.jp/,https://www.miki-corporation.co.jp/contact/,
株式会社　ヘッズ,,https://headscorp.co.jp/,https://headscorp.co.jp/contact/,
株式会社フロンティア・ロジ,,https://www.frontier-logi.jp/,https://www.frontier-logi.jp/contact4/index.php,「営業メールではない」にチェック
株式会社 ベストロジ三重,,https://www.bestlogi-s.co.jp/,https://www.bestlogi-s.co.jp/info/,
生川倉庫株式会社,,https://www.narukawa.co.jp/,https://www.narukawa.co.jp/contact/form.html,他にも「輸送事業」「トランクルーム事業」などのフォームあり
株式会社ロジックス,,https://www.logix.u-tc.co.jp/,https://www.logix.u-tc.co.jp/contact/,
株式会社エスライングループ奈良,,https://sline.co.jp/inquiry/,https://sline.co.jp/inquiry/,
関⻄輸送サービス株式会社,,https://kansaiyusou.co.jp/,https://kansaiyusou.co.jp/contact/,
"八大運輸株式会社
",,http://hachidaiunyu.co.jp/index.html,http://hachidaiunyu.co.jp/mail/mail.html,
前橋倉庫株式会社,,https://maebashi-souko.com/index.html,https://maebashi-souko.com/form/index.html,
株式会社　水上三洋商会,,https://www.m-sanyo.co.jp/,https://www.m-sanyo.co.jp/publics/index/30/,
ミエ梱包倉庫合同会社,,http://xn--ickyft60ibes.com/index.html,なし,
株式会社マルト輸送センター,,https://maluto.live/,なし,
昭和梱包運送株式会社,,http://www.showakonpo.jp/,なし,
ハウス物流サービス株式会社,,https://www.hbs-house.co.jp/,なし,
カースチール株式会社,,https://www.carsteel.co.jp/,あり（注意）,「廃車」「部品輸出」のみ
フライスター物流株式会社,,https://www.frystar-pd.co.jp/page1,なし,
株式会社 nowsun,,https://www.nowsun.jp/,https://www.nowsun.jp/mail/,
株式会社　オリエンタル物流,,http://www.oriental-log.jp/index.html,なし,フォームエラー
株式会社ジャパン流通プランニング,,https://www.jdplogi.co.jp/,https://www.jdplogi.co.jp/contact/,
株式会社 S I T,,https://corp.sit-trans.jp/index,https://store-can.appspot.com/tools/inq/sit/Input?category=SIT_LOGI,
株式会社鈴与カーゴネット北関東,,https://www.suzuyo-scn.co.jp/,https://www.suzuyo-scn.co.jp/contactform/,
株式会社　環商事,,https://kan-shoji.com/,https://kan-shoji.com/contact/,
後藤運輸株式会社,,http://www.gotounyu.co.jp/index.html,なし,
アサヒ通運株式会社,,https://asahi-tsuuun.jp/,https://asahi-tsuuun.jp/contact/,
伊勢湾倉庫株式会社,,https://y-iswh.com/,https://y-iswh.com/contact,
株式会社　ギコー,,https://gico8890.com/,なし,
びわ貨物運送株式会社,,https://biwakamotsu.jp/,https://biwakamotsu.jp/contact/,
株式会社JIC,,http://www.jicorps.co.jp/,なし,
共立梱包株式会社,,https://www.eonet.ne.jp/~kyoritsu/index.html,なし,
株式会社　マツダ運輸大阪,,https://www.mazda-unyu.co.jp/,なし,
株式会社ミトク,,https://www.mitoku.org/,https://www.mitoku.org/contact/,
マルソー株式会社,,https://www.maruso.co.jp/,https://www.maruso.co.jp/form/contact/,
株式会社クロスリンク,,https://www.cross-x-link.com/index.html,https://www.cross-x-link.com/contact.html,
株式会社テスココンポ,,https://www.tescompo.co.jp/,https://www.tescompo.co.jp/contact.html,
横浜物流 株式会社,,http://www.ylc-jp.com/annai-gaiyou.html,なし,
株式会社日吉回漕店,,https://www.hiyoshi-group.co.jp/,https://www.hiyoshi-group.co.jp/contact/,
タキザキロジスティクス株式会社,,https://takizaki-logistics.com/,https://takizaki-logistics.com/contact/,
ハコブ株式会社,,https://corp.hakobu.tokyo/,https://corp.hakobu.tokyo/contact,
釧路倉庫株式会社,,http://www.k-souko.co.jp/kaisya/gaiyou.html,なし,
株式会社福山倉庫,,https://www.fukuyama-souko.co.jp/,https://www.fukuyama-souko.co.jp/contact-us/,
博多港サイロ株式会社,,https://hakata-port-silo.com/,https://hakata-port-silo.com/form.html,
ロジスティード九州株式会社,,https://www.logisteed.com/kyushu/,なし,
北勢運送株式会社,,https://www.hokusei-tr.co.jp/,https://www.hokusei-tr.co.jp/contact/,
久居運送株式会社,,https://hisaiunsou.com/,https://hisaiunsou.com/contact/,
ジェイカス株式会社,,https://www.j-cas.co.jp/,https://www.j-cas.co.jp/contact/,
大阪高速乳配株式会社,,https://www.okn3.com/,https://www.okn3.com/contact/inquiry/,
株式会社マツキ,,http://matsuki.biz/,http://matsuki.biz/contact/,
株式会社47LAND,,https://www.47land.info/,https://www.47land.info/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,
株式会社フリゴ,,https://www.frigo.co.jp/,なし,
トーワ流通株式会社,,https://www.juwa.com/,https://www.juwa.com/contact/form/,
鹿島サイロ（株）,,https://www.san-eikai.or.jp//,なし,
株式会社　日の出梱包,,https://www.hinode-kp.co.jp/,なし,
株式会社 篠崎運送倉庫,,https://shinozaki.co.jp/,https://shinozaki.co.jp/contact/inclusive/,
新紀元旭東物流株式会社,,http://shinkigen.co.jp/,http://shinkigen.co.jp/contact.html,
株式会社アルファロッカーシステム,,https://alpha-locker.com/,https://alpha-locker.com/inquiry/contact/,
有限会社　高谷梱包工業,,https://kouya-konpou.jimdofree.com/,https://kouya-konpou.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,
株式会社 SUN-K,,https://www.sun-k.biz/,https://www.sun-k.biz/contact,
愛宕倉庫株式会社,,http://www.atg-logi.co.jp/,http://www.atg-logi.co.jp/contact/,
株式会社アジャスト,,https://www.ajust.biz/,https://www.ajust.biz/e4put5sv/,
スズシン物流システム株式会社,,https://suzushin-logi.co.jp/,https://suzushin-logi.co.jp/contact,
株式会社伊藤商店,,http://www.kaneshoito.co.jp/index.html,なし,
新運輸株式会社,,http://www.arataunyu.co.jp/,http://www.arataunyu.co.jp/contact/,
芳雄製氷冷蔵株式会社,,https://440.co.jp/,https://440.co.jp/contact/,
新成運輸株式会社,,https://shinseiunyu.co.jp/,https://shinseiunyu.co.jp/contact/,
有限会社　都築産業,,http://www.tsuzuki-sangyo.co.jp/concept.html,http://www.tsuzuki-sangyo.co.jp/contact.html,
伊丹陸運株式会社,,https://itariku.jp/,https://itariku.jp/contact/,
栄進急送株式会社,,https://eishin-x.com/,https://eishin-x.com/contact/,スパム防止認証あり
間口ロジスティクス株式会社,,https://www.maguchi.co.jp/,https://www.maguchi.co.jp/contact/,
三井倉庫ロジスティクス株式会社,,https://www.mitsui-soko.com/,https://www.mitsui-soko.com/contact/,
長野第一物流株式会社,,https://nagano-daiichi.co.jp/,https://nagano-daiichi.co.jp/contact/,
