company_name,prefecture,website,inquiry_url,notes,industry
Song LLC,,https://song.co.jp/,https://song.co.jp/contact/,株式会社アスターリンク,IT・web_final
"i.day,llc,",,https://i.day/,なし,兼松シードポート株式会社,IT・web_final
株式会社SunSunTech,,https://www.sunsuntech.com/,https://biz-maps.com/contact,,IT・web_final
深恒知能株式会社,,https://everdeep.ai/,なし,,IT・web_final
株式会社Elastic Infra,,https://www.elastic-infra.com/1ca83253ae7080308836c587e05a74ae,https://www.elastic-infra.com/1ca83253ae7080308836c587e05a74ae,営業お断り 株式会社ヘイグッド,IT・web_final
株式会社MEGO,,https://mego.jp/,https://mego.jp/contact-2/,株式会社HS-neo-project,IT・web_final
株式会社Deepnexus,,https://www.deepnexus.jp/index.html,https://www.deepnexus.jp/contact.html,,IT・web_final
株式会社コスモスシステム,,https://cos-sys.co.jp/,https://cos-sys.co.jp/contact/contact.php,合同会社Y3,IT・web_final
株式会社Tech Awesome,,https://tech-awesome.com/,https://tech-awesome.com/contact/,合同会社テクノブレインズ,IT・web_final
合同会社しずくＡｉ,,https://shizuku-ai.jp/,https://docs.google.com/forms/d/e/1FAIpQLSfHCGxWRg6k-Cg9ODgFI8Zk62977MI9AMu4F7errBNF2BCP1A/viewform,,IT・web_final
株式会社 .Env,,https://dot-env.co.jp/,なし,ノーギアス株式会社,IT・web_final
株式会社Valoo,,https://valoo.co.jp/valoo,https://valoo.co.jp/valoo#contact,Monitly.AI株式会社,IT・web_final
株式会社マキシネクスト,,https://maxinext.co.jp/,https://maxinext.co.jp/contact/,株式会社GENLY,IT・web_final
株式会社カルタノバ,,https://www.cartanova.ai/ja/,https://www.cartanova.ai/ja/,,IT・web_final
株式会社DIGIT,,https://d-it.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLScmNOHsZ8iUfzYc-ArKyjuSsi_-uUdIRt7ghRYLwmsRP1pHGA/viewform,クローカス株式会社,IT・web_final
株式会社 HBC-Works,,https://www.hbc-works.co.jp/,なし,KLIQXE株式会社,IT・web_final
株式会社広瀬システム,,https://www.hirose-system.jp/,なし,,IT・web_final
おおいたプラット株式会社,,https://oita-plat.com/,https://oita-plat.com/contact/,近畿オービス株式会社,IT・web_final
株式会社J.NOVA,,https://jnova.jp/,https://jnova.jp/contact/,,IT・web_final
栗花堂株式会社,,https://rikkado.com/,https://rikkado.com/#contact,SIGテクノロジー株式会社,IT・web_final
株式会社 Green XceleTech,,https://green-xeletech.com/,https://green-xeletech.com/contact/,,IT・web_final
ヴェルセンス株式会社,,https://versence.jp/,https://versence.jp/inquiry/,株式会社マジオトラスト,IT・web_final
AIVisor 株式会社,,https://aivisor.co.jp/#top,https://aivisor.co.jp/contact,arcbricks株式会社,IT・web_final
