company_name,prefecture,website,inquiry_url,notes,industry
Droomtuin,,https://www.droomtuinjp.com/,https://thebase.com/inquiry/xavi-theshop-jp?_gl=1*r2wx0i*_gcl_au*MTc3NzQwNjQ4LjE3NTkzMjczNDU.*_ga*MzgxODkzMDIyLjE3NTkzMjczNDU.*_ga_574HL6KGKQ*czE3NTkzMjczNDUkbzEkZzEkdDE3NTkzMjczNzkkajI2JGwwJGgw,,アパレル・美容業界
株式会社フナドリ,,https://second.biwa-buciage.com/fndr%e6%a6%82%e8%a6%81/,なし,,アパレル・美容業界
BELAKE,,https://be-lake.com/,https://belake.shop-pro.jp/customer/inquiries/new,,アパレル・美容業界
株式会社輝月商社,,https://www.yangzhouay.com/,なし,,アパレル・美容業界
Eclirise,,https://eclirise.studio.site/,なし,,アパレル・美容業界
ATELIER KAUNALOA HAIR & MAKE,,https://kaunaloa-hairmake.com/,なし,,アパレル・美容業界
株式会社エイアールアイ,,https://ari7778.com/index.html,https://ari7778.com/contact/index.html,,アパレル・美容業界
株式会社ジュエリーアマリリス,,https://jewelry-amaryllis.com/,https://jewelry-amaryllis.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,アパレル・美容業界
株式会社LUNASMITH,,https://lunasmith.jp/,https://lunasmith.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,アパレル・美容業界
株式会社東京ドレスフォーム,,https://tokyodressform.co.jp/,https://tokyodressform.co.jp/#contact,,アパレル・美容業界
株式会社 Calgel,,https://mogabrook.com/,https://mogabrook.com/contact,,アパレル・美容業界
MISUMISO合同会社,,https://misumisofootwear.com/,https://misumisofootwear.com/pages/contact,,アパレル・美容業界
groom plus,,http://groomplus.jp/,なし,,アパレル・美容業界
株式会社アビスアップ,,https://abyssup.com/,https://abyssup.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,営業お断り,アパレル・美容業界
2do,,https://2do-hair.jp/,なし,,アパレル・美容業界
トータルビューティーサロンLily,,https://www.lily-ayasalon.com/,https://www.lily-ayasalon.com/contact/,,アパレル・美容業界
能道再生株式会社,,https://www.noudosaisei.com/,https://www.noudosaisei.com/contact,,アパレル・美容業界
合同会社ナカジマ,,https://www.nagajimu.com/,なし,,アパレル・美容業界
株式会社Mar5aux,,https://www.mar5aux.jp/,https://www.mar5aux.jp/contact.html,,アパレル・美容業界
株式会社BLAZE,,https://www.silver-blaze.com/,https://www.silver-blaze.com/?page_id=33/,,アパレル・美容業界
合同会社 YHM,,https://yhm-llc.com/,なし,,アパレル・美容業界
株式会社ポケットロケッツ,,https://pocket-rockets.net/,https://form.jotform.com/251149087828466,,アパレル・美容業界
株式会社アドバンスウイング,,https://advancewing.com/,なし,,アパレル・美容業界
株式会社PLOVER,,https://www.plover358.com/,https://www.plover358.com/contact,,アパレル・美容業界
株式会社メイクインボディー,,https://www.make-inbody.com/,https://www.make-inbody.com/contact/,,アパレル・美容業界
LE.NAN,,https://lenan.jp/,https://lenan.jp/pages/contact,営業お断り,アパレル・美容業界
株式会社Pure et Pro,,https://pureetpro.com/,https://pureetpro.com/pages/contact,,アパレル・美容業界
株式会社泉州raxa,,https://senshu-raxa.com/,https://senshu-raxa.com/contact/,,アパレル・美容業界
株式会社CACTUS TOKYO,,https://cactus-tokyo.com/,なし,,アパレル・美容業界
株式会社GO WITH WHITE,,https://goww.tokyo/shop,https://goww.tokyo/shop/contact/draft,,アパレル・美容業界
合同会社サンス・ベリア,,https://sansevieria.buyshop.jp/,https://thebase.com/inquiry/sansevieria-buyshop-jp?_gl=1*bapeoi*_gcl_au*MTQ4NzQ0OTk0MS4xNzU5MzU4ODQ0*_ga*MjgxMDUzMDc4LjE3NTkzNTg4NDQ.*_ga_574HL6KGKQ*czE3NTkzNTg4NDQkbzEkZzEkdDE3NTkzNTkyODMkajU2JGwwJGgw,,アパレル・美容業界
reboon,,https://reboon.co.jp/,なし,,アパレル・美容業界
株式会社duracle hd,,https://duracleinc.com/,https://duracleinc.com/contact,,アパレル・美容業界
株式会社LIFACT,,https://lifact-inc.com/,https://lifact-inc.com/contact/,,アパレル・美容業界
株式会社ティアラ・7,,https://tiara7.jp/,https://tiara7.jp/contact,,アパレル・美容業界
株式会社 Prime bianca,,https://prime-bianca.co.jp/,https://prime-bianca.co.jp/contact,,アパレル・美容業界
オオトリ株式会社,,https://ohtori-inc.co.jp/,https://ohtori-inc.co.jp/contact/,,アパレル・美容業界
Canpana,,https://canpana.shop/,https://canpana.shop/inquiry,,アパレル・美容業界
株式会社VEATM,,https://veatm.com/pages/transaction,https://veatm.com/pages/contact,,アパレル・美容業界
株式会社KZN,,https://kzn-plan.com/,https://kzn-plan.com/contact.html,,アパレル・美容業界
株式会社エフィカス,,https://efficace-shop.com/,なし,,アパレル・美容業界
リデザインラボ株式会社,,https://www.redesignlab.jp/,https://www.redesignlab.jp/#contant,,アパレル・美容業界
株式会社NOWALIVE,,https://nowalive.jp/,なし,,アパレル・美容業界
株式会社KIRIBASS,,https://kiribass.jp/,https://kiribass.jp/contact/,,アパレル・美容業界
株式会社 Attic,,https://attic-sendai.com/,https://attic-sendai.com/pages/contact,,アパレル・美容業界
I _ for ME,,https://i-for.me/,https://docs.google.com/forms/d/e/1FAIpQLSdw_QR9GeLdQLQXAj0nUtaYsRLUFu7NnDWfD9bBDL0xWzGMfw/viewform,,アパレル・美容業界
美バリ株式会社,,https://bebari.co.jp/,https://bebari.co.jp/contact/,,アパレル・美容業界
ITOHEN,,https://www.itohen.shop/,https://www.itohen.shop/contact2,商品やご注文に関するお問い合わせや、配送状況の確認に関するフォームのみ,アパレル・美容業界
株式会社DAYDAY,,https://daydayseoul.shop/tokushoho,https://daydayseoul.shop/inquiry,,アパレル・美容業界
株式会社アルファブル,,https://alphable.co.jp/,なし,,アパレル・美容業界
株式会社双葉洋行,,http://www.futabayoko.jp/,なし,,アパレル・美容業界
東京ビューティークリニック,,https://dr-ark.co.jp/,https://drark.shop-pro.jp/customer/inquiries/new,,アパレル・美容業界
株式会社グランディール,,https://hogushi-riraku.com/,https://hogushi-riraku.com/contact.html,,アパレル・美容業界
有限会社シュヴー,,https://www.cheveux.co.jp/,https://www.cheveux.co.jp/contact/,,アパレル・美容業界
株式会社エイ．ダブリュ．ジェイ,,https://www.a-w-j.co.jp/#top,なし,,アパレル・美容業界
ウェルタイム株式会社,,http://www.welltimed.co.jp/,なし,,アパレル・美容業界
株式会社オニカム（ALBUM）,,https://store.album-hair.com/policies/legal-notice,なし,,アパレル・美容業界
株式会社スターリアン,,https://starlean.co.jp/,https://starlean.co.jp/contact/,,アパレル・美容業界
マナーズインターナショナル株式会社,,https://www.manners-inc.jp/,https://www.manners-inc.jp/contact-org/#contact_form-head,,アパレル・美容業界
インターゼロ株式会社,,https://www.interzero.co.jp/,https://www.interzero.co.jp/,同ページ内にフォームあり,アパレル・美容業界
桜サイエンスビューティー株式会社,,https://www.sakurasciencebeauty.com/,https://www.sakurasciencebeauty.com/contact,,アパレル・美容業界
株式会社グランディールジャパン,,https://grandirjapan.jp/index.html,https://grandirjapan.jp/contact.html,,アパレル・美容業界
株式会社立花テキスタイル研究所,,https://tachitex.com/,https://tachitex.com/postmail/postmail.html,,アパレル・美容業界
アヴァン,,https://e-avant.net/,https://e-avant.net/contactus,営業お断り,アパレル・美容業界
株式会社エコリングリシャイン,,https://www.ecoring-reshine.com/,https://www.ecoring-reshine.com/contact/,メンテナンスのためしばらくの間休止,アパレル・美容業界
株式会社HARIAS,,https://www.formalklein.co.jp/company/,なし,,アパレル・美容業界
株式会社 多磨,,https://www.tama-style.net/,https://www.tama-style.net/consultation/,問い合わせフォームではなく相談窓口と書いてあります,アパレル・美容業界
株式会社福岡共信,,https://www.bfk-jp.com/company.html,https://www.bfk-jp.com/contact.html,,アパレル・美容業界
株式会社タカラ,,https://www.takaragroup.co.jp/about_us/corporate_data/,https://www.takaragroup.co.jp/toiawase/form/,,アパレル・美容業界
株式会社G-7新流,,https://neel.co.jp/,https://neel.co.jp/pages/contact,,アパレル・美容業界
