company_name,prefecture,website,inquiry_url,notes,industry
株式会社GOOD GAMES,,https://goodgames.jp/index.html,https://goodgames.jp/contact/,,エンタメ・娯楽
合同会社桜来パフォーミング・アーツ,,https://www.sakura-performingarts.com/,https://www.sakura-performingarts.com/%E4%BA%8B%E6%A5%AD%E5%86%85%E5%AE%B9/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,エンタメ・娯楽
一般社団法人未来表現教育ラボ,,https://lead-protagonist.com/,https://lead-protagonist.com/contact/,,エンタメ・娯楽
ANTI MORAL SCHOOL,,https://anti-moral-school.studio.site/,なし,,エンタメ・娯楽
株式会社桜帝”OUTEI Inc.”,,https://outeicorp.com/,https://outeicorp.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,エンタメ・娯楽
株式会社Umewaka Noh,,https://umewaka-noh.online/,https://umewaka-noh.online/,,エンタメ・娯楽
ぴあ株式会社,,https://corporate.pia.jp/corp/data/,なし,,エンタメ・娯楽
株式会社LudensMan,,https://memee.jp/,https://select-type.com/e/?id=z4nzzS2CWOc,,エンタメ・娯楽
PLUS ALPHA Group,,https://peraichi.com/landing_pages/view/plusalpha2019/,なし,,エンタメ・娯楽
合同会社Undone,,https://undone.jp/,https://undone.jp/about,,エンタメ・娯楽
合同会社ジーガレージシェイクスピア道,,https://g-garage.world/,https://g-garage.world/4,,エンタメ・娯楽
Win-Winマッチング株式会社,,https://winwin-match.co.jp/,https://winwin-match.co.jp/,サイドメニューのContact URL同じ,エンタメ・娯楽
株式会社呉楽,,https://goraku.co.jp/,https://goraku.co.jp/contact,,エンタメ・娯楽
株式会社スタールート,,https://starroute.jp/,なし,応募用問い合わせフォームのみ,エンタメ・娯楽
カイテニスワークス,,https://kaitennis.jimdofree.com/,https://kaitennis.jimdofree.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,エンタメ・娯楽
株式会社Kendo Spirit,,https://kendospirit.jp/,https://kendospirit.jp/contact-us/,,エンタメ・娯楽
株式会社SUMOLAND,,https://sumoland.jp/jpn,なし,ページ下部のContactを開くとメール起動,エンタメ・娯楽
合同会社event-ty.,,https://www.event-ty.com/,https://www.event-ty.com/contact,,エンタメ・娯楽
株式会社K-tunes,,https://k-tunes.com/,なし,,エンタメ・娯楽
株式会社宝塚歌劇団,,https://kageki.hankyu.co.jp/,https://kageki.hankyu.co.jp/system/inquiries?_gl=1*eejbav*_gcl_au*MTIxMjQ2Mzk3Ny4xNzU4ODk0NDcx*_ga*NzM4NTgyMTkyLjE3NTg4OTQ0NzI.*_ga_CEG5NRBL43*czE3NTg4OTQ0NzEkbzEkZzEkdDE3NTg4OTQ1MzkkajUyJGwwJGgw,注意事項に、「宝塚歌劇と関係のない内容」については回答を差し控えると記載あり,エンタメ・娯楽
合同会社創屋プロダクション,,https://www.tsukuriya-production.com/,なし,メール起動,エンタメ・娯楽
株式会社FAH,,https://fah-corp.com/,https://fah-corp.com/contact/,営業お断り,エンタメ・娯楽
株式会社BBスクウェア,,https://bbsquare-89.com/,https://bbsquare-89.com/contact,,エンタメ・娯楽
マグニファイテック株式会社,,https://www.magnify-tech.com/,https://www.magnify-tech.com/contct,営業お断り,エンタメ・娯楽
株式会社 ONETODAY,,https://onetoday.inc/,https://onetoday.inc/pages/contact,,エンタメ・娯楽
株式会社ヤマトライジング,,https://yamatorising.jp/,https://yamatorising.jp/contact/,,エンタメ・娯楽
Second Nuts,,https://poker2ndnuts.wixsite.com/nuts,https://poker2ndnuts.wixsite.com/nuts,ページ下部に問い合わせフォーム有,エンタメ・娯楽
「映画館に行こう！」実行委員会,,https://www.eigakan.org/,なし,,エンタメ・娯楽
株式会社演奏舞台,,https://www.g-ensoubutai.com/,https://www.g-ensoubutai.com/contact,,エンタメ・娯楽
h.stage 株式会社,,https://hstage.jp/,なし,メールのみ,エンタメ・娯楽
株式会社ASOViVA,,https://asoviva2025.jp/,https://asoviva2025.jp/contact/,,エンタメ・娯楽
株式会社ガルディア―二・デラ・ムジカ・トウキョウ,,https://guardiani.jp/index.html,なし,,エンタメ・娯楽
プライベートサウナ株式会社,,https://private-sauna.co.jp/,https://private-sauna.co.jp/contact/,,エンタメ・娯楽
pittan株式会社,,https://pittaninc.com/,https://pittaninc.com/contact/,,エンタメ・娯楽
合同会社アート＆プリマ,,https://art-prima.com/,https://art-prima.com/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,,エンタメ・娯楽
ミズベリング旭川合同会社,,https://mizbering.net/index.html,https://mizbering.net/news/contact,,エンタメ・娯楽
株式会社IKMM,,https://www.ikmm.jp/,なし,メール,エンタメ・娯楽
株式会社アカツキメディアスタジオ,,https://mediastudio.aktsk.jp/,https://mediastudio.aktsk.jp/contact,,エンタメ・娯楽
有限会社リバース･イメージ･クリエイション,,https://www.ric-japan.com/,https://www.ric-japan.com/contact/,,エンタメ・娯楽
株式会社OCT,,http://www.oct-coltd.com/company.html,なし,,エンタメ・娯楽
株式会社ワンダーパワードユー,,https://wpu-co.com/ja/,https://wpu-co.com/ja/contact/,,エンタメ・娯楽
株式会社クライシスインテリジェンス,,https://crisis-int.co.jp/about-us/overview.html,https://crisis-int.co.jp/contact/,,エンタメ・娯楽
株式会社トムスエージェンシー,,https://www.toms-a.co.jp/company/,なし,,エンタメ・娯楽
株式会社IZUMI PRO,,https://izumipromotion.co.jp/,https://izumipromotion.co.jp/contact/,,エンタメ・娯楽
有限会社 斉竹設計,,http://www.saitake.net/,なし,メール起動,エンタメ・娯楽
株式会社ニューディアー,,https://www.newdeer.net/,なし,メール,エンタメ・娯楽
株式会社ツーポインツ,,https://www.twopoints-jp.com/,なし,,エンタメ・娯楽
有限会社 エー・ライン,,http://a-line.tokyo/,http://a-line.tokyo/form/,,エンタメ・娯楽
株式会社ミストラルジャパン,,https://www.qualityinngulfbreeze.com/,なし,,エンタメ・娯楽
株式会社ライトワークス,,https://writeworks.co.jp/index.html,なし,メール,エンタメ・娯楽
法律情報出版株式会社,,https://www.legal-info.co.jp/,なし,,エンタメ・娯楽
株式会社アイエヌジー,,https://www.ing-corp.jp/index.html,https://www.ing-corp.jp/contact/index.html,,エンタメ・娯楽
J-NET株式会社,,https://www.j-net-sys.co.jp/,https://www.anshinchodama.com/contact/,,エンタメ・娯楽
株式会社ミギナナメウエ,,https://migi-nanameue.co.jp/,https://migi-nanameue.co.jp/contact/,,エンタメ・娯楽
株式会社 TAMARIBA,,https://tamariba.tokyo/index.php,https://tamariba.tokyo/contact.php,,エンタメ・娯楽
アルディート株式会社,,https://www.ardito-co.com/,https://www.ardito-co.com/form/,,エンタメ・娯楽
株式会社ラップス,,https://raps.tokyo/,なし,メール起動,エンタメ・娯楽
株式会社オフィスマツバ,,https://office-matsuba.net/,https://office-matsuba.net/contact/,,エンタメ・娯楽
ファンブック株式会社,,https://fanbook.jp/,https://fanbook.jp/contact/,,エンタメ・娯楽
株式会社Links,,https://www.links-ad.com/,https://www.links-ad.com/contact/,,エンタメ・娯楽
株式会社リアルジャパン,,https://real-japan.jp/,https://real-japan.jp/contact/,営業お断り,エンタメ・娯楽
株式会社インスタッフ,,https://www.instaff.net/,https://www.instaff.net/contact/,,エンタメ・娯楽
株式会社 J STRUCT,,https://jstruct.jp/,なし,,エンタメ・娯楽
株式会社ロビンソン,,https://robinson-japan.jp/index.html,https://robinson-japan.jp/contact.html,,エンタメ・娯楽
株式会社フィーカ,,https://www.fikadesign.jp/,https://www.fikadesign.jp/contact/,,エンタメ・娯楽
株式会社クロノス,,http://chronus.me/,http://chronus.me/contact,,エンタメ・娯楽
株式会社ダンス・プロ,,https://www.dancepro.co.jp/,なし,,エンタメ・娯楽
株式会社 リクエストＢＥＡＴＳ,,https://www.request-inc.co.jp/company/#company-prof,なし,メール,エンタメ・娯楽
株式会社エルフェンスポーツクラブ,,https://www.as-elfen.co.jp/,https://www.as-elfen.co.jp/contact/,,エンタメ・娯楽
有限会社スタジオアド,,http://st-add.com/,なし,,エンタメ・娯楽
株式会社ルバート,,https://www.mamahapi.jp/,https://www.rubato.co.jp/contact/,,エンタメ・娯楽
有限会社 石上水産,,https://good-maguro.jp/,なし,,エンタメ・娯楽
株式会社 国際スポーツ医科学研究所,,https://ismi.jp/,https://ismi.jp/contact/,,エンタメ・娯楽
Bodymate株式会社,,https://bodymate.jp/,なし,,エンタメ・娯楽
itadaki株式会社,,http://www.hopmx.com/,なし,,エンタメ・娯楽
ビープラス・グループ株式会社,,http://b-plusg.co.jp/,http://b-plusg.co.jp/qa/,,エンタメ・娯楽
有限会社アンデスの風,,https://www.andesunokaze.com/,https://www.andesunokaze.com/contact.html,,エンタメ・娯楽
有限会社ロード,,http://www.lo-ad.jp/,なし,問い合わせページ工事中,エンタメ・娯楽
株式会社 舞研,,https://buken.co.jp/company.html,なし,メール起動,エンタメ・娯楽
有限会社すぴぃーど,,https://www.speed-neobravo.com/,https://docs.google.com/forms/d/e/1FAIpQLSfGtRuFD-eVWmh6JciFm7FrGS_DAROzecIUJLXFYkxdUPntBw/viewform,,エンタメ・娯楽
イングリッシュプラス株式会社,,https://www.englishplus.co.jp/index.html,https://my.ptsc.jp/englishplus/inquiry_pc/input?i=toiawase,,エンタメ・娯楽
