company_name,prefecture,website,inquiry_url,notes,industry
Amihan Entertainment,,https://www.amihan.gg/,なし,メールのみ,ゲーム業界
株式会社Yuiga-Dock,,https://www.yuiga-dock.com/,なし,メールのみ,ゲーム業界
永井興業合同会社,,https://nagai-industries.com/,なし,メールのみ,ゲーム業界
株式会社きんにくゲームズ,,https://kinnniku-games.com/,なし,メールのみ,ゲーム業界
株式会社メタスラ,,https://www.metasla.net/,https://www.metasla.net/contact,,ゲーム業界
株式会社Clearest,,https://clearest.jp/,https://clearest.jp/contact/,,ゲーム業界
株式会社ルウエンハンス,,https://lu-enhance.com/,なし,問合せ自体なし,ゲーム業界
有限会社リバース･イメージ･クリエイション,,https://www.ric-japan.com/,https://www.ric-japan.com/contact/,,ゲーム業界
EYOUGAME株式会社,,https://eyougame.co.jp/,https://eyougame.co.jp/contact.html,,ゲーム業界
株式会社 SPARKRAFT,,https://www.sparkraft.jp/,https://www.sparkraft.jp/,,ゲーム業界
株式会社ライトワークス,,https://writeworks.co.jp/index.html,なし,メールのみ,ゲーム業界
アンテポスト株式会社,,https://antepost.co.jp/,https://antepost.co.jp/contact/inquiry/,,ゲーム業界
ミスリル株式会社,,https://www.mythril.co.jp/,https://www.mythril.co.jp/contact,,ゲーム業界
株式会社グッドラックスリー,,https://www.gl-inc.jp/,https://www.gl-inc.jp/contact,,ゲーム業界
株式会社 ユーフォニック,,https://www.euphonic.co.jp/,なし,メールのみ,ゲーム業界
株式会社Rikkeisoft,,https://rikkeisoft.com/ja/,https://rikkeisoft.com/ja/contract/,,ゲーム業界
プラト株式会社,,https://www.plato-web.com/index.html,なし,メールのみ,ゲーム業界
株式会社MAGES.,,https://mages.co.jp/,https://mages.co.jp/contact/company,,ゲーム業界
株式会社セガ プレイハート,,https://sega-playheart.co.jp/,https://sega-playheart.co.jp/inquiry/,,ゲーム業界
株式会社ホープムーン,,https://www.hopemoon.com/,なし,メールのみ,ゲーム業界
株式会社WHRP,,https://www.whrp.co.jp/,なし,問合せ自体なし,ゲーム業界
株式会社テンクロス,,https://tencross.co.jp/,https://tencross.co.jp/,,ゲーム業界
デジタルシティ株式会社,,https://digital-city.co.jp/,https://digital-city.co.jp/,HP下部に問合せフォームあり,ゲーム業界
株式会社大谷幸夢店,,http://www.otanikoumuten.co.jp/index.html,http://www.otanikoumuten.co.jp/contact.html,,ゲーム業界
株式会社ガーラ,,https://www.gala.biz/?r=0,https://www.gala.biz/contact-us,,ゲーム業界
ココネ株式会社,,https://cocone.co.jp/,https://cocone.co.jp/inquiry_form/others/,,ゲーム業界
株式会社カイロソフト,,https://kairosoft.net/,なし,メールのみ,ゲーム業界
NTTソルマーレ株式会社,,https://www.nttsolmare.com/,https://www.nttsolmare.com/contact/,,ゲーム業界
株式会社アクワイア,,https://www.acquire.co.jp/,https://www.acquire.co.jp/company/contacts/,,ゲーム業界
株式会社アルカディアワークス,,http://arcadia-works.com/,http://arcadia-works.com/,HP下部に問合せフォームあり,ゲーム業界
株式会社アストロール,,http://www.astroll.jp/,なし,メールのみ,ゲーム業界
株式会社オーアールジー,,https://www.orggames.co.jp/,https://www.orggames.co.jp/pages/5/,,ゲーム業界
アイパブリッシング株式会社,,https://www.ipublishing.jp/,https://www.ipublishing.jp/inquiry/,,ゲーム業界
株式会社レコム,,https://www.recom-corp.co.jp/,https://www.recom-corp.co.jp/contact/,,ゲーム業界
株式会社月島ファクトリー,,https://moonisland.jp/index.html,なし,メールのみ,ゲーム業界
株式会社Contents Creation,,https://www.contents-creation.co.jp/,なし,メールのみ,ゲーム業界
株式会社サイバード,,https://www.cybird.co.jp/,https://www.cybird.co.jp/contact2/,,ゲーム業界
株式会社バンダイナムコフォージデジタルズ,,https://fd.bandainamco.jp/info/,なし,問合せ自体なし,ゲーム業界
株式会社スパイク・チュンソフト,,https://www.spike-chunsoft.co.jp/,https://www.spike-chunsoft.co.jp/support/other/,,ゲーム業界
株式会社ドロップシード,,https://dropseed.co.jp/,https://dropseed.co.jp/inquiry,,ゲーム業界
株式会社モノクロ,,https://monochrome-corp.com/index.html,なし,メールのみ,ゲーム業界
株式会社モバイルワンテクノロジー,,http://www.mob1tec.com/index.html,なし,メールのみ,ゲーム業界
株式会社ファンコーポレーション,,https://www.funco.co.jp/,https://www.funco.co.jp/contact,,ゲーム業界
株式会社ゼロディブ,,https://www.zerodiv.jp/,https://www.zerodiv.jp/newsite/contact_input.php,,ゲーム業界
アマツ株式会社,,https://www.amatz.com/index.html,https://www.amatz.com/contact.php,,ゲーム業界
株式会社Readme,,http://readme-inc.com/,http://readme-inc.com/contact,,ゲーム業界
株式会社シェルト,,https://www.cierto.co.jp/,https://www.cierto.co.jp/contact/,,ゲーム業界
Rekoo Japan株式会社,,http://www.rekoo.co.jp/,なし,メールのみ,ゲーム業界
株式会社セレッテ,,https://sarette.jp/,https://sarette.jp/contact/,,ゲーム業界
株式会社ボトルキューブ,,https://www.bottlecube.co.jp/,https://www.bottlecube.co.jp/contact,,ゲーム業界
株式会社モブキャストホールディングス,,https://mobcast.co.jp/,https://mobcast.co.jp/contact/,,ゲーム業界
有限会社コネクト・ウィザード,,https://c-wiz.co.jp/,https://c-wiz.co.jp/contact.html,,ゲーム業界
株式会社KIMARY,,https://www.kimary.co.jp/,https://www.kimary.co.jp/contact/,,ゲーム業界
UZZ株式会社,,https://www.uzz.company/,なし,メールのみ,ゲーム業界
合同会社Famulite Lab.,,https://www.famulite-lab.com/,なし,メールのみ,ゲーム業界
株式会社ぐるぐる,,https://guru-guru.net/,https://guru-guru.net/contact/,,ゲーム業界
有限会社タウンファクトリー,,https://www.townfactory.net/home/main.html,https://www.townfactory.net/inquiry/main.html,,ゲーム業界
株式会社D-ウェーブ,,https://d-nami.co.jp/,https://d-nami.co.jp/contact/,,ゲーム業界
株式会社サイバーコネクトツー,,https://www.cc2.co.jp/,https://www.cc2.co.jp/company/mailform,,ゲーム業界
SAT-BOX株式会社,,https://sat-box.jp/,https://sat-box.jp/company/mail/,,ゲーム業界
辰巳電子工業株式会社,,https://www.tatsu-mi.co.jp/,https://www.tatsu-mi.co.jp/inquiry,,ゲーム業界
クアドラソフトウェア株式会社,,https://qdsoft.co.jp/index.html,https://qdsoft.co.jp/ctt/,,ゲーム業界
株式会社ビー・トライブ,,https://bee-tribe.jp/,https://bee-tribe.jp/contact/,,ゲーム業界
株式会社アメージング,,https://www.amazing-game.co.jp/,https://www.amazing-game.co.jp/contact/index.html,,ゲーム業界
株式会社ヘキサドライブ,,https://hexadrive.jp/,https://hexadrive.jp/contact/,,ゲーム業界
株式会社ジーン,,https://www.xeen.co.jp/,https://www.xeen.co.jp/contact/index/entry,,ゲーム業界
株式会社アクラス,,https://www.k-aclass.com/,https://www.k-aclass.com/contact/input,,ゲーム業界
株式会社ヒストリア,,https://historia.co.jp/,https://historia.co.jp/contact,,ゲーム業界
株式会社Thirdverse,,https://thirdverse.io/ja/,https://form.run/@thirdverse-1623209505,,ゲーム業界
株式会社クラップハンズ,,https://claphanz.com/,なし,メールのみ,ゲーム業界
MSY株式会社,,https://msygroup.com/,https://msygroup.com/contact/etc/,,ゲーム業界
株式会社ヘッドロック,,https://headlock.jp/,https://headlock.jp/contact/,,ゲーム業界
株式会社ルーデル,,https://rudel.jp/,https://rudel.jp/inquiry/,,ゲーム業界
株式会社イルカ,,https://www.ilca.co.jp/,https://www.ilca.co.jp/contact/,,ゲーム業界
株式会社ソフトギア,,https://www.soft-gear.co.jp/,なし,メールのみ,ゲーム業界
株式会社ジャパンゲートウェイ,,https://www.j-gateway.co.jp/index.html,なし,問合せ自体なし,ゲーム業界
G2 Studios株式会社,,https://g2-studios.net/,なし,問合せ自体なし,ゲーム業界
株式会社インクルーズ,,https://www.increws.co.jp/index.html,https://www.increws.co.jp/contact/index.html,,ゲーム業界
株式会社グリモア,,https://grmr.co.jp/,https://grmr.co.jp/contact/,営業お断り,ゲーム業界
株式会社enish,,https://www.enish.jp/,なし,メールのみ,ゲーム業界
HINATA株式会社,,https://hinata3.co.jp/,https://hinata3.co.jp/contact/,,ゲーム業界
株式会社ランド・ホー,,https://www.landho.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLScA83ksL-PTF23O08pVtHzBJkTYq8xBUbwcoEb8xqDcbi5KGQ/viewform,,ゲーム業界
株式会社オルカ,,https://www.orca-inc.co.jp/wp/,https://www.orca-inc.co.jp/wp/contact/,,ゲーム業界
株式会社バンダイナムコスタジオ,,https://www.bandainamcostudios.com/,https://www.bandainamcostudios.com/press-inquiries,取材依頼のみ,ゲーム業界
株式会社エイティング,,https://www.8ing.co.jp/,https://www.8ing.co.jp/contact/,,ゲーム業界
株式会社サクセス,,https://www.success-corp.co.jp/,https://www.success-corp.co.jp/inquiry/other-inquiries/,,ゲーム業界
株式会社バンダイナムコアミューズメントラボ,,https://lab.bandainamco-am.co.jp/,なし,リンク切れ,ゲーム業界
株式会社マックスゲームズ,,https://www.maxgames.co.jp/,なし,電話のみ,ゲーム業界
株式会社モス,,https://mossjp.co.jp/,なし,メールのみ,ゲーム業界
株式会社タムソフト,,https://www.tamsoft.co.jp/,https://www.tamsoft.co.jp/contact/,,ゲーム業界
株式会社バンダイナムコネクサス,,https://bandainamco-nexus.co.jp/,https://bandainamco-nexus.co.jp/contact/,,ゲーム業界
コナミグループ株式会社,,https://www.konami.com/ja/,https://ja-support1.konami.com/hc/ja/requests/new?ticket_form_id=8858199092889,,ゲーム業界
セガサミーホールディングス株式会社,,https://www.segasammy.co.jp/ja/,https://webcomms.segasammy.co.jp/contact/ja?_ifbs-contact=s1_Step1,,ゲーム業界
株式会社マイナビ出版,,https://book.mynavi.jp/,https://book.mynavi.jp/inquiry/id=4,,ゲーム業界
リンクラフト株式会社,,https://www.lincraft.co.jp/,https://www.lincraft.co.jp/contact,,ゲーム業界
株式会社モバイルファクトリー,,https://www.mobilefactory.jp/,https://contact.mobilefactory.jp/contact/,,ゲーム業界
フューチャー・アンティークス株式会社,,https://futureantiques.co.jp/,https://futureantiques.co.jp/contact/,,ゲーム業界
株式会社グランシー,,https://gran-c.co.jp/,https://gran-c.co.jp/contact/,,ゲーム業界
株式会社インフィニットループ,,https://www.infiniteloop.co.jp/,https://www.infiniteloop.co.jp/contact/,,ゲーム業界
株式会社ビットグルーヴ,,https://www.bitgroove.jp/,https://www.bitgroove.jp/contactform,問合せの受付を一時停止中,ゲーム業界
株式会社クラウドクリエイティブスタジオ​,,https://cloud-creative-studios.com/,https://cloud-creative-studios.com/contact/,,ゲーム業界
マリオクラブ株式会社,,https://www.marioclub.co.jp/,なし,問合せ自体なし,ゲーム業界
株式会社クロスプラススタジオ,,https://crossplus-studio.jp/,https://crossplus-studio.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b,,ゲーム業界
