company_name,prefecture,website,inquiry_url,notes,industry
株式会社田才倉庫,,https://tasaigroup.co.jp/,https://www.tasaigroup.co.jp/mailform/,,運輸・物流業界
株式会社福岡ソノリク,,https://www.fukuokasonoriku.co.jp/index.html,https://www.fukuokasonoriku.co.jp/contact/contact.html,,運輸・物流業界
大一運送株式会社,,http://daiichi-unsou.jp/index.html,http://daiichi-unsou.jp/contact.html,,運輸・物流業界
株式会社 ケイアイ・ロジテック,,http://www.ki-logi.co.jp/,http://www.ki-logi.co.jp/contact.html,,運輸・物流業界
株式会社原口商事,,https://www.haraguchi-kamotsu.co.jp/,https://www.haraguchi-kamotsu.co.jp/contact/,営業NG,運輸・物流業界
有限会社幹コーポレーション,,https://www.miki-corporation.co.jp/,https://www.miki-corporation.co.jp/contact/,,運輸・物流業界
株式会社 ヘッズ,,https://headscorp.co.jp/,https://headscorp.co.jp/contact/,,運輸・物流業界
株式会社フロンティア・ロジ,,https://www.frontier-logi.jp/,https://www.frontier-logi.jp/contact4/index.php,「営業メールではない」にチェック,運輸・物流業界
株式会社 ベストロジ三重,,https://www.bestlogi-s.co.jp/,https://www.bestlogi-s.co.jp/info/,,運輸・物流業界
生川倉庫株式会社,,https://www.narukawa.co.jp/,https://www.narukawa.co.jp/contact/form.html,他にも「輸送事業」「トランクルーム事業」などのフォームあり,運輸・物流業界
株式会社ロジックス,,https://www.logix.u-tc.co.jp/,https://www.logix.u-tc.co.jp/contact/,,運輸・物流業界
株式会社エスライングループ奈良,,https://sline.co.jp/inquiry/,https://sline.co.jp/inquiry/,,運輸・物流業界
関⻄輸送サービス株式会社,,https://kansaiyusou.co.jp/,https://kansaiyusou.co.jp/contact/,,運輸・物流業界
八大運輸株式会社,,http://hachidaiunyu.co.jp/index.html,http://hachidaiunyu.co.jp/mail/mail.html,,運輸・物流業界
前橋倉庫株式会社,,https://maebashi-souko.com/index.html,https://maebashi-souko.com/form/index.html,,運輸・物流業界
株式会社 水上三洋商会,,https://www.m-sanyo.co.jp/,https://www.m-sanyo.co.jp/publics/index/30/,,運輸・物流業界
ミエ梱包倉庫合同会社,,http://xn--ickyft60ibes.com/index.html,なし,,運輸・物流業界
株式会社マルト輸送センター,,https://maluto.live/,なし,,運輸・物流業界
昭和梱包運送株式会社,,http://www.showakonpo.jp/,なし,,運輸・物流業界
ハウス物流サービス株式会社,,https://www.hbs-house.co.jp/,なし,,運輸・物流業界
カースチール株式会社,,https://www.carsteel.co.jp/,あり（注意）,「廃車」「部品輸出」のみ,運輸・物流業界
