company_name,prefecture,website,inquiry_url,notes,industry
LYFE Capital,,https://www.lyfecapital.com/,https://www.lyfecapital.com/contact,,金融業界
ONGAESHI Holdings Inc.,,https://www.ongaeshi-holdings.com/,https://www.ongaeshi-holdings.com/,,金融業界
The Global Blooming株式会社,,https://www.bloomx3.com/,https://www.bloomx3.com/contact/,,金融業界
株式会社 K・ライズ ホールディングス,,https://www.keirise.co.jp/,https://www.keirise.co.jp/contact/,,金融業界
夏和産業株式会社,,http://www.natsuwasangyo.com/Default.aspx,http://www.natsuwasangyo.com/Contact.aspx?ClassID=23,,金融業界
株式会社TAUE,,https://www.taue.info/,https://www.taue.info/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,,金融業界
株式会社WM,,https://wm-inc.net/,https://wm-inc.net/,,金融業界
株式会社SbyM,,https://www.sbym.net/%E3%83%9B%E3%83%BC%E3%83%A0,https://www.sbym.net/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,,金融業界
​株式会社Finfinity,,https://www.finfinity.co.jp/,https://www.finfinity.co.jp/,,金融業界
HiJoJo Partners株式会社,,https://www.hijojo-partners.com/,https://www.hijojo-partners.com/inquiry,,金融業界
合同会社ワイアール,,https://yr-amc.com/,なし,,金融業界
株式会社HASマネジメント,,https://has-management.site/,なし,,金融業界
株式会社ディープストーン・パートナーズ,,https://www.deepstone.jp/jpn,https://docs.google.com/forms/d/e/1FAIpQLSd4TlAUy3jTcoBokRD_ONi2eWyROgiAoFYfd8trQ7o2ZU9Evg/viewform,,金融業界
株式会社ＫＪＲＭホールディングス,,https://www.kjrm.co.jp/index.html,https://www.kjrm.co.jp/contact/,,金融業界
日本アジア投資株式会社,,https://www.jaic-vc.co.jp/,https://www.jaic-vc.co.jp/jreference/index.html,,金融業界
株式会社Happy Buy,,https://www.happybuy.co.jp/,なし,,金融業界
智泉株式会社,,https://www.chisen.tokyo/,https://www.chisen.tokyo/#contact,,金融業界
株式会社ソリッドキャピタル,,https://solidcapital.co.jp/,なし,,金融業界
